Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
BUS2|IRISDMC|KS|35.2486|129.112503|0.8258115466947288|-171.06803536119583|89|Busan, South Korea
CHJ2|IRISDMC|KS|36.873001|127.9748|1.3182003054582558|-51.7862511061652|217|Chungju, South Korea
JTU|IRISDMC|JP|34.5275|129.396332|1.5404815020615241|176.11016655721613|70|Tsushima Kamiagata
TJN|IRISDMC|PS|36.3772|127.3638|1.5688637632750368|-77.94121119419992|60|Daejeon, Korea
TJN|IRISDMC|KG|36.38052|127.36174|1.5711245768780113|-77.83379136296043|86.1|TJN
NAWB|IRISDMC|KS|35.4211|127.3962|1.6509473054558808|-112.3870963234693|127|Namwon, South Korea
KSAR|IRISDMC|IM|37.442101|127.884399|1.7689525850162426|-38.441864327268725|109|Wonju Array Beam, South Korea
SEHB|IRISDMC|KS|38.2686|128.252502|2.348323584621697|-19.88239894307577|401|Seawha, South Korea
SEO2|IRISDMC|KS|37.4939|126.917099|2.3648560638528093|-52.11471111850579|85|Seoul, South Korea
INCN|IRISDMC|IU|37.47768|126.62436|2.546701896766777|-55.51190140859268|55|Inchon, Republic of Korea
JNU|IRISDMC|JP|33.125|130.876694|3.2233650585653906|155.3080420394076|540|Oita Nakatsue
JHS|IRISDMC|JP|35.001831|133.113663|3.303570276696957|107.63819945589448|470|Hiroshima Saijyo
JMN|IRISDMC|JP|33.731499|133.876328|4.439792625776875|120.35948116570938|550|Kochi Monobe
JSU|IRISDMC|JP|31.509331|130.452667|4.659970489821904|167.48546661110674|400|Kagoshima Suzuyama
JWT|IRISDMC|JP|35.285671|135.398666|5.038600573314905|97.09360452241647|172|Kyoto Wachi
INU|IRISDMC|PS|35.3482|137.0285|6.339306478872269|94.20972195013144|132.3|Inuyama, Japan
INU|RESIF|G|35.35|137.029|6.339436225252096|94.19304833839611|132|Inuyama, Japan
JGF|IRISDMC|JP|35.604|137.354172|6.568607410902114|91.64310106757769|580|Gifu Kurokawa
DL2|IRISDMC|CB|38.905998|121.627998|6.693311589130093|-62.598379293072625|65|Dalian,Liaoning Province
MAJO|IRISDMC|IU|36.54567|138.20406|7.213594194213577|83.535955201853|405|Matsushiro, Japan
MJAR|IRISDMC|IM|36.541698|138.209|7.217482520832552|83.5682063889755|422|Matsushiro Array Beam, Nagano, Japan
SNY|IRISDMC|CB|41.827801|123.578003|7.263204446146478|-35.76845594520815|54|Shenyang,Liaoning Province
JSG|IRISDMC|JP|34.67767|138.182999|7.396516898884363|98.1974992231349|107|Shizuoka Sagara
JSD|IRISDMC|JP|38.040001|138.257172|7.4364965448104465|71.92104151448564|146|Sado
CN2|IRISDMC|CB|43.48|125.260002|8.027696835161782|-21.303358811292846|223|Changchun,Jilin Province
SSE|IRISDMC|IC|31.09455|121.18863|8.362748695364695|-124.14213394967449|20|Shanghai, China
USRK|IRISDMC|IM|44.199799|131.9888|8.395385671709247|13.471203878174288|170|Ussuriysk Array Beam, Primorskiy Kray, Russia
MDJ|IRISDMC|IC|44.61763|129.59341|8.55667146980503|1.5497883353756192|290|Mudanjiang, Heilongjiang Province, China
TSK|IRISDMC|PS|36.2108|140.1097|8.751238882380463|85.84284916351795|350|Tsukuba, Japan
JYT|IRISDMC|JP|36.230831|140.190674|8.815747611550485|85.69535228848792|31|Ibaraki Yasato
JHJ2|IRISDMC|JP|33.115299|139.813797|9.161819252811414|105.7143628547224|70|Hachijojima Island
JOW|IRISDMC|JP|26.836|128.272507|9.267431262760345|-174.4675703547443|220|Okinawa Kunigami
JMM|IRISDMC|JP|37.868999|140.789673|9.373132410159089|75.47322270620289|100|Miyagi Marumori
NJ2|IRISDMC|CB|32.051701|118.854401|9.50887148701499|-111.95259305992514|45|Nanjing,Jiangsu Province
TIA|IRISDMC|CB|36.209999|117.124001|9.803454505252985|-85.5633482727912|266.8|Taian,Shandong Province
JTM|IRISDMC|JP|40.789501|141.064667|10.365952778900454|59.329488270651396|130|Aomori Tenma
JMZ|IRISDMC|JP|25.81983|131.223663|10.38011504171716|170.19105060882393|50|Minamidaitojima Island
BJT|IRISDMC|IC|40.019074|116.171611|11.034023538273|-65.063144133674|220|Baijiatuan, Beijing, China
JEW|IRISDMC|JP|42.84267|141.446167|11.57131408717596|50.445363004002004|185|Eniwa
JMJ2|IRISDMC|JP|24.740801|125.327797|11.819737034617496|-162.25430269929547|46|Miyakojima Island
